Old value,Prediction
180000.00,222960.91
425000.00,395624.03
375000.00,400798.44
1200000.00,1242311.75
250000.00,188198.95
400000.00,404799.31
70000.00,54959.75
625000.00,535862.25
450000.00,503881.84
500000.00,520477.16
1100000.00,940299.88
1200000.00,956836.00
170000.00,156854.14
650000.00,675042.38
400000.00,370057.59
120000.00,-44697.68
180000.00,221876.78
1300000.00,1517681.25
350000.00,350747.53
2000000.00,1687192.00
350000.00,370057.59
0.00,-152305.34
140000.00,101892.99
100000.00,175436.08
350000.00,465963.44
200000.00,209841.94
100000.00,195993.38
975000.00,825538.75
0.00,4782.07
1700000.00,3279008.00
1000000.00,847712.50
700000.00,599769.88
600000.00,509469.47
4000000.00,3877681.25
180000.00,234322.59
2500000.00,2278822.75
1100000.00,1059774.88
475000.00,355852.91
450000.00,465963.44
150000.00,195993.38
3200000.00,2978381.00
1300000.00,1532541.25
0.00,473640.94
1100000.00,1125975.50
675000.00,674163.12
575000.00,592330.38
750000.00,712034.50
1100000.00,981391.75
2300000.00,3024521.00
250000.00,29500.47
925000.00,916366.06
3300000.00,3482591.50
180000.00,195993.38
200000.00,236081.41
2600000.00,2340051.75
0.00,449016.50
5500000.00,5389262.00
8500000.00,8537534.00
210000.00,444573.47
1000000.00,786800.31
150000.00,210198.03
750000.00,805992.75
300000.00,319417.25
2600000.00,2284557.75
1200000.00,1121767.12
1100000.00,960541.81
800000.00,908555.38
1200000.00,1167784.50
8500000.00,7200113.50
325000.00,271728.84
80000.00,195993.38
550000.00,440397.00
150000.00,-115140.59
475000.00,440397.00
1400000.00,1530430.12
15500000.00,13409886.00
220000.00,236081.41
1000000.00,890107.00
800000.00,1082154.62
34500000.00,32103656.00
100000.00,175436.08
450000.00,526517.81
925000.00,881601.94
675000.00,646869.88
3700000.00,3944684.25
425000.00,509980.59
16000000.00,14275062.00
3900000.00,3521259.00
325000.00,370057.59
170000.00,164965.44
50000.00,144091.27
5500000.00,5668923.50
250000.00,254220.77
825000.00,716908.38
240000.00,285933.53
200000.00,263202.47
425000.00,436746.47
1300000.00,1692859.50
4200000.00,3858850.50
325000.00,310976.41
575000.00,632290.06
1000000.00,930982.31
825000.00,758970.00
3200000.00,3214274.25
725000.00,829325.06
425000.00,440397.00
325000.00,370057.59
2000000.00,1879191.50
80000.00,144091.27
1000000.00,1040321.25
375000.00,376124.66
975000.00,1190507.88
525000.00,544833.50
13000000.00,11521156.00
900000.00,808313.94
200000.00,188198.95
7000000.00,6145541.00
350000.00,512338.03
425000.00,312168.41
4200000.00,4075319.75
21000000.00,19703826.00
8500000.00,9005576.00
110000.00,175436.08
3500000.00,3550588.50
1000000.00,829325.06
1400000.00,1571978.00
700000.00,884573.00
925000.00,908555.38
300000.00,426192.31
6500000.00,6770085.50
1300000.00,1186750.38
6500000.00,6493219.50
170000.00,208756.25
100000.00,127459.47
200000.00,208756.25
1100000.00,1238785.38
9500000.00,9741632.00
130000.00,-187206.33
110000.00,210198.03
775000.00,632290.06
260000.00,310976.41
725000.00,648596.69
300000.00,313267.84
220000.00,241255.81
270000.00,259032.36
260000.00,426192.31
375000.00,444077.25
1800000.00,2007240.62
2200000.00,2194286.25
850000.00,824510.75
650000.00,1854132.75
750000.00,818548.50
550000.00,440397.00
2000000.00,2292295.00
900000.00,1761988.25
625000.00,559038.19
550000.00,578799.25
825000.00,839220.50
2800000.00,3134180.00
8500000.00,8972212.00
100000.00,195993.38
13500000.00,13475780.00
625000.00,602700.31
20000000.00,17832818.00
900000.00,855546.75
180000.00,221876.78
975000.00,978954.75
1600000.00,2490133.00
1100000.00,1220354.50
250000.00,236081.41
2100000.00,1940610.88
775000.00,773549.81
575000.00,399638.53
17500000.00,15207960.00
170000.00,142445.44
180000.00,221876.78
160000.00,642013.94
925000.00,779282.31
180000.00,125509.39
2600000.00,2194744.00
400000.00,426192.31
1100000.00,1100319.12
1600000.00,1540139.12
0.00,55521.84
550000.00,597525.94
12000000.00,11551212.00
525000.00,524505.25
425000.00,486408.47
625000.00,562929.19
120000.00,195993.38
550000.00,790918.25
20000000.00,20329368.00
170000.00,189640.73
325000.00,118030.94
1600000.00,1363363.25
2200000.00,1867553.12
425000.00,346932.53
2200000.00,2457435.25
900000.00,1061248.75
675000.00,683101.62
425000.00,355852.91
525000.00,509821.47
1900000.00,1719680.62
1400000.00,1586422.25
250000.00,325181.09
200000.00,221876.78
3900000.00,4117719.50
90000.00,195993.38
80000.00,195993.38
950000.00,945553.69
100000.00,195993.38
180000.00,222960.91
7500000.00,7655910.50
2400000.00,2043604.38
200000.00,186880.14
1100000.00,999514.19
775000.00,858500.62
2900000.00,4676161.00
675000.00,727018.31
240000.00,308078.97
825000.00,744701.12
350000.00,426192.31
500000.00,533471.75
775000.00,728681.44
140000.00,236081.41
775000.00,758970.00
1100000.00,945553.69
450000.00,571959.50
2500000.00,2399019.00
325000.00,310976.41
3500000.00,3398496.00
6500000.00,5989086.50
33000000.00,33199136.00
100000.00,89316.41
130000.00,208756.25
250000.00,340507.75
425000.00,596818.50
725000.00,682332.81
775000.00,658724.12
800000.00,855668.19
725000.00,603359.94
425000.00,427698.56
220000.00,412071.56
2600000.00,2397543.25
110000.00,210198.03
2000000.00,1965021.62
4000000.00,3445797.75
1900000.00,1974104.50
425000.00,484502.75
950000.00,681543.19
375000.00,362781.84
90000.00,158295.92
450000.00,475536.25
550000.00,681304.31
350000.00,385420.22
180000.00,189640.73
725000.00,1055113.38
1500000.00,1418411.12
600000.00,587574.50
1100000.00,1290812.12
4200000.00,3390968.25
250000.00,285933.53
8500000.00,8470392.00
2700000.00,3112046.75
10500000.00,10086428.00
350000.00,325181.09
875000.00,841132.00
8000000.00,6517358.50
8000000.00,8282639.00
8500000.00,8326204.00
1600000.00,1758715.25
2200000.00,1911527.88
4300000.00,4115575.00
9000000.00,9138630.00
325000.00,195469.08
1100000.00,995561.00
450000.00,384639.53
7000000.00,7491831.50
875000.00,1074535.88
475000.00,497059.34
1400000.00,1558819.50
2200000.00,2228533.00
1800000.00,1757862.50
475000.00,392026.12
3500000.00,3004950.75
230000.00,297485.84
70000.00,108775.23
3400000.00,2845898.25
600000.00,710387.00
260000.00,271728.84
2400000.00,2453078.50
1200000.00,1324126.50
525000.00,559038.19
600000.00,602700.31
1100000.00,1557979.88
500000.00,484502.75
6000000.00,5484280.00
220000.00,316674.38
1800000.00,2195500.75
3000000.00,2927007.50
450000.00,433270.44
0.00,96245.11
450000.00,440397.00
375000.00,440397.00
1800000.00,1618655.12
60000.00,144091.27
170000.00,159791.03
2500000.00,2449079.25
2100000.00,1833044.12
260000.00,201319.48
70000.00,144091.27
650000.00,655663.31
140000.00,189640.73
2100000.00,2212338.25
350000.00,441903.25
1600000.00,1690692.50
5000000.00,4860599.50
725000.00,620819.44
210000.00,252905.52
675000.00,484502.75
1000000.00,1253283.12
1400000.00,1934388.62
5000000.00,4463052.50
6500000.00,7137027.50
130000.00,195993.38
20000.00,-134110.38
290000.00,310976.41
10500000.00,10507998.00
525000.00,524274.06
450000.00,282374.59
7000000.00,6823234.50
650000.00,580807.75
900000.00,945553.69
800000.00,798347.75
5500000.00,5631107.00
7500000.00,7558058.00
525000.00,451758.75
425000.00,465963.44
9500000.00,10062034.00
7500000.00,7942030.50
